"sample_id","condition","replicate","cluster_id","n_cells","prop_within_sample"
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"18",52,0.00836416277947563
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"17",20,0.0032169856844137
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"26",16,0.00257358854753096
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"25",36,0.00579057423194467
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"6",390,0.0627312208460672
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"14",156,0.0250924883384269
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"23",19,0.00305613640019302
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"22",60,0.00965095705324111
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"30",1,0.000160849284220685
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"10",200,0.032169856844137
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"1",602,0.0968312691008525
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"2",512,0.0823548335209908
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"29",2,0.00032169856844137
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"28",14,0.00225188997908959
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"27",22,0.00353868425285507
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"8",252,0.0405340196236127
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"7",234,0.0376387325076403
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"5",425,0.0683609457937912
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"4",503,0.0809071899630047
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"20",76,0.0122245456007721
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"3",566,0.0910406948689078
"Trem2_KO_5XFAD3","Trem2_KO_5XFAD",3,"9",245,0.0394080746340679
"Trem2_KO1","Trem2_KO",1,"0",1091,0.166387067256367
"Trem2_KO1","Trem2_KO",1,"9",222,0.0338569467744395
"Trem2_KO1","Trem2_KO",1,"8",212,0.0323318590818972
"Trem2_KO1","Trem2_KO",1,"7",453,0.0690864724721671
"Trem2_KO1","Trem2_KO",1,"16",89,0.0135732804636267
"Trem2_KO1","Trem2_KO",1,"6",373,0.0568857709318286
"Trem2_KO1","Trem2_KO",1,"5",410,0.0625285953942352
"Trem2_KO1","Trem2_KO",1,"4",460,0.0701540338569468
"Trem2_KO1","Trem2_KO",1,"13",202,0.0308067713893549
"Trem2_KO1","Trem2_KO",1,"22",72,0.0109806313863047
"Trem2_KO1","Trem2_KO",1,"11",316,0.0481927710843374
"Trem2_KO1","Trem2_KO",1,"10",303,0.0462101570840323
"Trem2_KO1","Trem2_KO",1,"1",598,0.0912002440140308
"Trem2_KO1","Trem2_KO",1,"2",507,0.0773219460118957
"Trem2_KO1","Trem2_KO",1,"19",41,0.00625285953942352
"Trem2_KO1","Trem2_KO",1,"18",65,0.00991307000152509
"Trem2_KO1","Trem2_KO",1,"17",13,0.00198261400030502
"Trem2_KO1","Trem2_KO",1,"26",23,0.00350770169284734
"Trem2_KO1","Trem2_KO",1,"25",30,0.00457526307762696
"Trem2_KO1","Trem2_KO",1,"15",147,0.0224187890803721
"Trem2_KO1","Trem2_KO",1,"14",183,0.0279091047735245
"Trem2_KO1","Trem2_KO",1,"23",53,0.0080829647704743
"Trem2_KO1","Trem2_KO",1,"3",513,0.0782369986274211
"Trem2_KO1","Trem2_KO",1,"29",12,0.00183010523105079
"Trem2_KO1","Trem2_KO",1,"21",43,0.00655787707793198
"Trem2_KO1","Trem2_KO",1,"20",76,0.0115906664633216
"Trem2_KO1","Trem2_KO",1,"30",1,0.000152508769254232
"Trem2_KO1","Trem2_KO",1,"28",10,0.00152508769254232
"Trem2_KO1","Trem2_KO",1,"27",13,0.00198261400030502
"Trem2_KO1","Trem2_KO",1,"24",26,0.00396522800061003
"Trem2_KO2","Trem2_KO",2,"5",525,0.0657400450788881
"Trem2_KO2","Trem2_KO",2,"11",282,0.0353117956423742
"Trem2_KO2","Trem2_KO",2,"4",582,0.072877535687453
"Trem2_KO2","Trem2_KO",2,"6",430,0.0538442273979464
"Trem2_KO2","Trem2_KO",2,"0",1264,0.158276984723266
"Trem2_KO2","Trem2_KO",2,"9",297,0.0371900826446281
"Trem2_KO2","Trem2_KO",2,"8",494,0.0618582519408966
"Trem2_KO2","Trem2_KO",2,"7",435,0.0544703230653644
"Trem2_KO2","Trem2_KO",2,"16",112,0.0140245429501628
"Trem2_KO2","Trem2_KO",2,"25",30,0.00375657400450789
"Trem2_KO2","Trem2_KO",2,"15",152,0.0190333082895066
"Trem2_KO2","Trem2_KO",2,"14",230,0.0288004007012271
"Trem2_KO2","Trem2_KO",2,"13",270,0.033809166040571
"Trem2_KO2","Trem2_KO",2,"22",78,0.00976709241172051
"Trem2_KO2","Trem2_KO",2,"21",69,0.00864012021036814
"Trem2_KO2","Trem2_KO",2,"10",312,0.039068369646882
"Trem2_KO2","Trem2_KO",2,"1",698,0.0874029551715502
"Trem2_KO2","Trem2_KO",2,"2",598,0.0748810418231906
"Trem2_KO2","Trem2_KO",2,"19",62,0.00776358627598297
"Trem2_KO2","Trem2_KO",2,"18",112,0.0140245429501628
"Trem2_KO2","Trem2_KO",2,"17",57,0.00713749060856499
"Trem2_KO2","Trem2_KO",2,"26",32,0.00400701227147508
"Trem2_KO2","Trem2_KO",2,"3",626,0.0783871775607313
"Trem2_KO2","Trem2_KO",2,"29",10,0.00125219133483596
"Trem2_KO2","Trem2_KO",2,"24",50,0.00626095667417982
"Trem2_KO2","Trem2_KO",2,"23",42,0.00525920360631104
"Trem2_KO2","Trem2_KO",2,"30",3,0.000375657400450789
